event,x,y,before,after,label,change,clouds
EMSR260_02VIADANA,0,0,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR260_02VIADANA,0,256,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR260_02VIADANA,0,512,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR260_02VIADANA,0,768,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0513763427734375,0.0
EMSR260_02VIADANA,0,1024,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.061197916666666664,0.0
EMSR260_02VIADANA,256,0,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.1323394775390625,0.0
EMSR260_02VIADANA,256,256,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0782623291015625,0.0
EMSR260_02VIADANA,256,512,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.06915283203125,0.0
EMSR260_02VIADANA,256,768,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.1561431884765625,0.0
EMSR260_02VIADANA,256,1024,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR260_02VIADANA,512,0,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0134735107421875,0.0
EMSR260_02VIADANA,512,256,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0467376708984375,0.0
EMSR260_02VIADANA,512,512,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.04498291015625,0.0
EMSR260_02VIADANA,512,768,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0027008056640625,0.0
EMSR260_02VIADANA,512,1024,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.010416666666666666,0.0
EMSR260_02VIADANA,768,0,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR260_02VIADANA,768,256,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.031936813186813184,0.0
EMSR260_02VIADANA,768,512,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.032280219780219783,0.0
EMSR260_02VIADANA,768,768,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.027000343406593408,0.0
EMSR260_02VIADANA,768,1024,"['/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-18.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-11-30.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-03.tif', '/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-05.tif']",/home/dkyselica/ravaen/EMSR260_02VIADANA/S2/2017-12-13.tif,/home/dkyselica/ravaen/EMSR260_02VIADANA/changes/2017-12-13.tif,0.0,0.0
EMSR333_02PORTOPALO,0,0,"['/home/dkyselica/ravaen/EMSR333_02PORTOPALO/S2/2018-10-20.tif', '/home/dkyselica/ravaen/EMSR333_02PORTOPALO/S2/2018-10-23.tif', '/home/dkyselica/ravaen/EMSR333_02PORTOPALO/S2/2018-10-25.tif', '/home/dkyselica/ravaen/EMSR333_02PORTOPALO/S2/2018-10-30.tif']",/home/dkyselica/ravaen/EMSR333_02PORTOPALO/S2/2018-11-04.tif,/home/dkyselica/ravaen/EMSR333_02PORTOPALO/changes/2018-11-04.tif,0.0,0.2414093017578125
